"Jahr","Monat","Umsatz","Umsatz_Num"
2021,"März","3.475,00 €",3475
2021,"Mai","5.250,00 €",5250
2021,"April","450,00 €",450
2021,"Juli","6.090,00 €",6090
2021,"September","3.655,00 €",3655
2021,"Oktober","4.753,00 €",4753
2021,"November","10.869,93 €",10869.93
2021,"Dezember","3.400,00 €",3400
2021,"Januar","2.700,00 €",2700
2021,"Februar","1.400,00 €",1400
2021,"Juni","1.400,80 €",1400.8
2021,"August","2.700,00 €",2700
2020,"Januar","400,00 €",400
2020,"Dezember","9.197,40 €",9197.4
2020,"November","2.950,00 €",2950
2020,"Oktober","860,00 €",860
2020,"September","500,00 €",500
2020,"August","3.100,00 €",3100
2020,"Juli","0,00 €",0
2020,"Juni","1.900,00 €",1900
2020,"Mai","0,00 €",0
2020,"April","4.000,00 €",4000
2020,"März","700,00 €",700
2020,"Februar","1.400,00 €",1400
2019,"Januar","0,00 €",0
2018,"Januar","0,00 €",0
2019,"Februar","1.000,00 €",1000
2019,"März","250,00 €",250
2019,"April","0,00 €",0
2019,"Mai","1.000,00 €",1000
2019,"Juni","1.000,00 €",1000
2019,"Juli","2.390,00 €",2390
2019,"August","0,00 €",0
2019,"September","5.700,00 €",5700
2019,"Oktober","0,00 €",0
2019,"November","2.050,00 €",2050
2019,"Dezember","3.450,00 €",3450
2018,"Februar","0,00 €",0
2018,"März","850,00 €",850
2018,"April","1.000,00 €",1000
2018,"Mai","2.300,00 €",2300
2018,"Juni","0,00 €",0
2018,"Juli","250,00 €",250
2018,"August","0,00 €",0
2018,"September","500,00 €",500
2018,"Oktober","300,00 €",300
2018,"November","164,90 €",164.9
2018,"Dezember","1.025,00 €",1025
2022,"Januar","0,00 €",0
2022,"Februar","1.100,00 €",1100
2022,"März","1.500,00 €",1500
2022,"April","4.860,00 €",4860
2022,"Mai","7.740,00 €",7740
2022,"Juni","7.140,00 €",7140
2022,"Juli","3.480,00 €",3480
2022,"August","2.000,00 €",2000
2022,"September","7.734,00 €",7734
2022,"Oktober","5.615,00 €",5615
2022,"November","6.185,00 €",6185
2022,"Dezember","8.760,00 €",8760
2023,"Januar","1.859,40 €",1859.4
2023,"Februar","2.970,00 €",2970
2023,"März","0,00 €",0
2023,"April","7.569,00 €",7569
2023,"Mai","9.339,00 €",9339
2023,"Juni","0,00 €",0
2023,"Juli","7.830,00 €",7830
2023,"August","6.440,00 €",6440
2023,"September","20.285,07 €",20285.07
2023,"Oktober","4.570,00 €",4570
2023,"November","3.300,00 €",3300
2023,"Dezember","4.276,52 €",4276.52
2024,"Januar","1.960,00 €",1960
2024,"Februar","1.242,70 €",1242.7
2024,"März","6.925,00 €",6925
2024,"April","7.360,00 €",7360
2024,"Mai","980,00 €",980
2024,"Juni","2.585,00 €",2585
2024,"Juli","6.275,00 €",6275
2024,"August","3.865,00 €",3865
2024,"September","12.924,50 €",12924.5
2024,"Oktober","12.199,00 €",12199
2024,"November","8.105,00 €",8105
2024,"Dezember","5.755,00 €",5755
2025,"Januar","9.915,00 €",9915
2025,"Februar","5.480,00 €",5480
2025,"März","5.445,60 €",5445.6
2025,"April","10.266,50 €",10266.5
2025,"Mai","4.795,00 €",4795
2025,"Juni","7.410,60 €",7410.6
2025,"Juli","7.930,00 €",7930
2025,"August","7.568,00 €",7568
2025,"September","6.050,00 €",6050
2025,"Oktober","5.040,24 €",5040.24
2025,"November","5.799,00 €",5799
2025,"Dezember","8.600,00 €",8600
