Feature,Gain,Cover,Frequency
SILVER_volume,0.0923611249943673,0.084801842280403,0.0730783794017418
volume_ratio_roll_mean_50,0.0923116339839016,0.0635850679690315,0.0680613404013631
DXY_volume_sma_20_lag20,0.0913251608544855,0.0830030034763749,0.0797046573267702
SILVER_volume_lag4,0.0721524673659829,0.0615882130139008,0.0594471790988262
volume_ratio_roll_sd_50,0.0704939272932905,0.0693504802879116,0.0744982960999621
volume_ratio_roll_mean_20,0.0703662710009775,0.0746568476083078,0.0736463460810299
vhf_28,0.0664307344057342,0.0697699777758808,0.0709011737978039
volume_ratio_zscore_50,0.0661301599557564,0.0670755165981746,0.0669254070427868
rsi_14_roll_sd_20,0.0617161959555841,0.0656082954203799,0.0682506626277925
DXY_volume_roc_10_lag20,0.0593012778087807,0.0588919634133807,0.0617190458159788
SILVER_volume_roc_10_lag20,0.0568761134017179,0.0572888625434537,0.0629496402877698
VIX_rsi_14_lag20,0.0550321250773816,0.0661847517246518,0.0626656569481257
volume_roll_mean_10,0.0521304070579826,0.0619798955842371,0.0590685346459674
SILVER_volume_lag8,0.0469668115906173,0.0601260785060188,0.0587845513063234
SILVER_volume_ratio,0.04640558925344,0.0560892037978929,0.0602991291177584
