feature,direction
volume_roll_sd_20,long
volume_ratio_roll_mean_50,long
VIX_rsi_14_lag20,long
volume_ratio_roll_mean_20,long
DXY_volume_roc_10_lag20,long
volume_roll_mean_50,long
close_roll_sd_50,long
body_pct,long
DXY_volume_sma_20_lag20,long
SILVER_volume_lag8,long
close_roll_sd_10,long
volume_ma_20,long
DXY_volume_roc_5_lag20,long
SILVER_volume_roc_5_lag20,long
hour_range,long
SILVER_volume_sma_20_lag20,long
DXY_volume_ratio,long
volume_ratio_zscore_50,long
SILVER_volume_ratio_lag4,long
SILVER_volume_ratio,long
VIX_volume_roc_10_lag20,long
volume_ratio_roll_mean_10,long
volume_ratio_lag10,long
day_of_week,long
DXY_di_plus_14_lag8,long
VIX_volume_roc_5_lag20,long
volume_ratio_roll_sd_50,long
SILVER_volume_roc_10_lag8,long
DXY_macd_diff_lag8,long
stoch_k_lag5,long
DXY_adx_14_lag1,long
momentum_20_d2,long
ema_21_slope_lag10,long
adx_14_lag2,long
DXY_volume_roc_5,long
VIX_volume_roc_10_lag4,long
rsi_28_lag10,long
aroon_oscillator_lag1,long
SILVER_macd_diff_lag1,long
DXY_volume_sma_20_lag8,long
rsi_14_roll_mean_50,long
DXY_close_lag20,long
aroon_up,long
obv,long
VIX_di_plus_14_lag4,long
SILVER_di_plus_14_lag20,long
adx_14_d2,long
VIX_macd_diff_lag4,long
bb_bandwidth_20_roll_mean_50,long
stoch_d,long
