feature,direction
volume_roll_sd_50,short
hl_range,short
volume_roll_sd_20,short
volume_ratio_zscore_50,short
hour_range,short
SILVER_macd_diff_lag20,short
adx_14_d1,short
bb_bandwidth_20_roll_sd_20,short
DXY_volume_sma_20_lag20,short
volume_roll_sd_10,short
VIX_adx_14,short
DXY_vpt_lag20,short
rsi_14_roll_sd_10,short
obv,short
DXY_volume,short
DXY_volume_ratio_lag20,short
rsi_14_roll_sd_50,short
SILVER_close_lag20,short
SILVER_volume_roc_5_lag8,short
SILVER_volume_roc_10_lag20,short
volume_zscore_50,short
SILVER_volume_roc_5,short
DXY_macd_diff_lag20,short
volume_roll_mean_10,short
bb_bandwidth_20_roll_mean_10,short
donchian_position_20,short
ema_9_slope,short
volume_ratio_roll_mean_20,short
DXY_adx_14_lag1,short
DXY_volume_ratio,short
bb_bandwidth_20_roll_sd_50,short
volume_ratio_lag3,short
SILVER_volume_roc_10_lag4,short
vhf_28,short
volume_ratio_roll_mean_50,short
VIX_macd_signal_lag4,short
SILVER_volume_ratio,short
DXY_di_minus_14_lag4,short
SILVER_volume_roc_10,short
VIX_volume_ratio,short
SILVER_volume_sma_20_lag1,short
SILVER_adx_14_lag20,short
body_pct,short
SILVER_macd_diff_lag1,short
VIX_macd_diff_lag4,short
DXY_volume_roc_5_lag4,short
VIX_di_plus_14_lag8,short
roc_5_d2,short
close_roll_sd_10,short
rsi_14_roll_sd_20,short
