combination_id,max_depth,eta,gamma,lambda,min_child_weight,train_auc,train_precision,train_recall,train_f1,test_auc,test_precision,test_recall,test_f1,rank_train_auc,rank_train_precision,rank_test_auc,rank_test_precision,avg_rank
1,3,0.03,0,1,5,0.845868962267635,0.786407766990291,0.733654118313048,0.759115536681798,0.73085789064101,0.62905317769131,0.770452740270056,0.692609782220636,158,201,126,225,177.5
2,4,0.03,0,1,5,0.845305008179596,0.790850673194615,0.731531276535522,0.760035288928099,0.734975294238984,0.640345056403451,0.766481334392375,0.697758496023138,163,138,19,98,104.5
3,5,0.03,0,1,5,0.86190530760996,0.804321176831137,0.742853099348995,0.772366097704532,0.73768763720772,0.643097643097643,0.758538522637014,0.696064139941691,21,23,1,60,26.25
4,3,0.05,0,1,5,0.841831993903954,0.785638054581491,0.729266911972828,0.756403669724771,0.734890240521199,0.63724853990915,0.779984114376489,0.701428571428571,213,213,21,138,146.25
5,4,0.05,0,1,5,0.861309341124326,0.80367816091954,0.742145485423153,0.771687145905379,0.729078459710657,0.627540983606557,0.760127084988086,0.6875,22,26,182,231,115.25
6,5,0.05,0,1,5,0.8669648936275,0.808837066584842,0.746108123407869,0.77620730270907,0.72695010762309,0.632075471698113,0.745035742652899,0.683922712358731,11,10,218,191,107.5
7,3,0.1,0,1,5,0.862602876303619,0.802179506583926,0.750070761392584,0.775250493673664,0.72540507670238,0.623937213865272,0.757744241461477,0.684361549497848,18,37,235,243,133.25
8,4,0.1,0,1,5,0.852921854298659,0.79306658521686,0.734927823379564,0.762891141472014,0.729061716852825,0.630872483221476,0.746624305003971,0.683885049108767,90,119,183,206,149.5
9,5,0.1,0,1,5,0.852071600245407,0.797699386503068,0.736060005660912,0.76564110113352,0.730304371761094,0.652387640449438,0.737887212073074,0.692508386134924,99,75,142,9,81.25
10,3,0.03,0.1,1,5,0.847792298791287,0.791603285670825,0.736484574016417,0.763049853372434,0.732256923841428,0.631917631917632,0.779984114376489,0.698186988979737,136,133,82,197,137
11,4,0.03,0.1,1,5,0.856728845424444,0.798931297709924,0.740588734786301,0.768654524089307,0.731354148947142,0.62809364548495,0.745830023828435,0.681917211328976,53,63,107,230,113.25
12,5,0.03,0.1,1,5,0.867001147586417,0.80920348570555,0.749080101896405,0.777981921070037,0.732907886153924,0.645205479452055,0.748212867355044,0.692901802133137,10,9,61,40,30
13,3,0.05,0.1,1,5,0.851384955470549,0.79375,0.736909142371922,0.764274181711434,0.729608203732452,0.63013698630137,0.767275615567911,0.691977077363897,110,114,168,214,151.5
14,4,0.05,0.1,1,5,0.857859075068866,0.801718845917741,0.739315029719785,0.769253423648947,0.731759995820983,0.62475442043222,0.757744241461477,0.684852835606605,44,39,95,241,104.75
15,5,0.05,0.1,1,5,0.854652563189609,0.797137140218562,0.732946504387206,0.763695347636953,0.732690229002112,0.645466847090663,0.757744241461477,0.69711362805992,72,83,71,39,66.25
16,3,0.1,0.1,1,5,0.85491504098433,0.800336854999235,0.73973959807529,0.768846068985806,0.727375376212016,0.62484076433121,0.779189833200953,0.693531283138918,67,51,213,240,142.75
17,4,0.1,0.1,1,5,0.856751257357156,0.799080459770115,0.737899801868101,0.767272459715989,0.731524926097026,0.630749014454665,0.762509928514694,0.690399137001079,52,59,101,207,104.75
18,5,0.1,0.1,1,5,0.853623480137929,0.795357361026268,0.73705066515709,0.765094755398854,0.731160601510608,0.649721448467967,0.741064336775219,0.69239332096475,82,95,116,13,76.5
19,3,0.03,0.2,1,5,0.847047790875536,0.788666058948648,0.734644777809227,0.760697538100821,0.734110693060554,0.629147690305791,0.768069896743447,0.69170243204578,141,163,32,223,139.75
20,4,0.03,0.2,1,5,0.867210687224491,0.811465358675659,0.749221624681574,0.779102281089036,0.730914816357638,0.630606860158311,0.75933280381255,0.689009009009009,9,8,123,208,87
21,5,0.03,0.2,1,5,0.85998268705318,0.801778322857581,0.740164166430795,0.769740231069247,0.737461943484149,0.649966147596479,0.762509928514694,0.701754385964912,29,38,3,12,20.5
22,3,0.05,0.2,1,5,0.849809665630887,0.791355957997261,0.735918482875743,0.762631077216397,0.734375899928608,0.633986928104575,0.770452740270056,0.695589817138759,125,135,28,173,115.25
23,4,0.05,0.2,1,5,0.851306058090775,0.796860572483841,0.732804981602038,0.763491595399587,0.735133346816915,0.636662286465177,0.76965845909452,0.696871628910464,111,84,17,146,89.5
24,5,0.05,0.2,1,5,0.868641189036126,0.812739831158864,0.749363147466742,0.779765849348354,0.729579071159825,0.629333333333333,0.749801429706116,0.684305907937659,6,6,169,220,100.25
25,3,0.1,0.2,1,5,0.851567928398453,0.792184186610118,0.740164166430795,0.765291191103307,0.728901655131954,0.625712476250792,0.784749801429706,0.696264975334743,105,125,189,237,164
26,4,0.1,0.2,1,5,0.851949007190434,0.795769289301476,0.740022643645627,0.766884212070103,0.725508882420937,0.632978723404255,0.756155679110405,0.689106044154904,100,92,234,185,152.75
27,5,0.1,0.2,1,5,0.863570364508281,0.807384615384615,0.742711576563827,0.773698953265517,0.726485995603995,0.646892655367232,0.727561556791104,0.684859813084112,13,14,225,30,70.5
28,3,0.03,0,1.5,5,0.84687536218703,0.790541571319603,0.733371072742712,0.760883929226929,0.732604505570014,0.630960156760287,0.767275615567911,0.69247311827957,144,142,75,204,141.25
29,4,0.03,0,1.5,5,0.854677426766461,0.799172160049057,0.737758279082932,0.767238207373611,0.732806759292621,0.635761589403974,0.762509928514694,0.693391115926327,70,57,65,155,86.75
