datetime,open,high,low,close,label,barrier_touched,bars_to_exit,log_return,pred_prob_long,pred_prob_short,signal,signal_long,signal_short,log_return_calculated,pnl,trade_direction,label_return_for_trade,label_direction,is_aligned,label_profitable,signal_profitable,aligned_and_profitable
2025-01-02T02:00:00Z,2625.24,2630.84,2623.77,2629.54,1,upper,2,0.00161927363271354,0.664920628070831,0.557579159736633,1,1,1,0.000950284966923893,0.000950284966923893,Long,0.00161927363271354,1,TRUE,TRUE,TRUE,TRUE
2025-01-02T02:30:00Z,2632.55,2634.34,2632.31,2633.43,0,vertical,6,-0.00013671318733901,0.619350254535675,0.661233007907867,-1,1,1,0.00111958507352064,-0.00111958507352064,Short,0.00013671318733901,0,FALSE,TRUE,FALSE,FALSE
2025-01-02T05:30:00Z,2632.37,2632.76,2632,2632.04,1,upper,3,0.000977174069053775,0.48421123623848,0.680845737457275,-1,0,1,0.0011391512277833,-0.0011391512277833,Short,-0.000977174069053775,1,FALSE,FALSE,FALSE,FALSE
2025-01-02T06:15:00Z,2633.27,2635.23,2633.25,2634.84,-1,lower,3,-0.00105088683903553,0.544482707977295,0.61688631772995,-1,1,1,-0.000626420143376293,0.000626420143376293,Short,0.00105088683903553,-1,TRUE,TRUE,TRUE,TRUE
2025-01-02T07:30:00Z,2634.11,2634.65,2633.29,2634.1,0,vertical,6,0.000356794471193459,0.735826253890991,0.614131689071655,1,1,1,0.00250625272188024,0.00250625272188024,Long,0.000356794471193459,0,FALSE,TRUE,TRUE,FALSE
2025-01-02T09:00:00Z,2635.87,2636.97,2633.92,2635.04,-1,lower,1,-0.0012618739719906,0.799854099750519,0.678086698055267,1,1,1,-0.00070232320002876,-0.00070232320002876,Long,-0.0012618739719906,-1,FALSE,FALSE,FALSE,FALSE
2025-01-02T09:15:00Z,2635.02,2635.05,2631.25,2633.19,1,upper,2,0.00141141939266599,0.62221360206604,0.554456293582916,1,1,1,0.00437294176098918,0.00437294176098918,Long,0.00141141939266599,1,TRUE,TRUE,TRUE,TRUE
2025-01-02T12:45:00Z,2642.01,2642.5,2641.11,2641.82,-1,lower,6,-0.00173068608268507,0.544832587242127,0.282513558864594,1,1,0,0.00445667197848959,0.00445667197848959,Long,-0.00173068608268507,-1,FALSE,FALSE,TRUE,FALSE
2025-01-02T14:15:00Z,2638.47,2641.02,2636,2640.71,1,upper,2,0.0020713955168048,0.848633646965027,0.768673837184906,1,1,1,0.00310041423338044,0.00310041423338044,Long,0.0020713955168048,1,TRUE,TRUE,TRUE,TRUE
2025-01-02T14:45:00Z,2639.08,2647.17,2638.12,2642.88,1,upper,3,0.00260125972727848,0.728881120681763,0.577631175518036,1,1,1,0.00610720596050117,0.00610720596050117,Long,0.00260125972727848,1,TRUE,TRUE,TRUE,TRUE
2025-01-02T16:45:00Z,2651.88,2655.8,2651.37,2653.99,1,upper,5,0.00239782959917105,0.520489990711212,0.464482724666596,1,1,0,0.00342293472544998,0.00342293472544998,Long,0.00239782959917105,1,TRUE,TRUE,TRUE,TRUE
2025-01-03T02:00:00Z,2660.76,2662.34,2659.21,2660.83,-1,lower,2,-0.00113791001956653,0.965162575244904,0.92186975479126,1,1,1,0.000848998533317797,0.000848998533317797,Long,-0.00113791001956653,-1,FALSE,FALSE,TRUE,FALSE
2025-01-03T02:30:00Z,2658.67,2659.05,2656.65,2656.89,1,upper,3,0.00127549649584166,0.836005032062531,0.840845704078674,-1,1,1,0.000609549629438919,-0.000609549629438919,Short,-0.00127549649584166,1,FALSE,FALSE,FALSE,FALSE
2025-01-03T06:30:00Z,2660.52,2660.52,2658.67,2658.98,-1,lower,1,-0.00107434112696888,0.877710103988648,0.760901868343353,1,1,1,-0.00017677513308861,-0.00017677513308861,Long,-0.00107434112696888,-1,FALSE,FALSE,FALSE,FALSE
2025-01-03T06:45:00Z,2658.96,2658.97,2655.94,2658.51,-1,lower,6,-0.00118153387198468,0.888098418712616,0.735165774822235,1,1,1,-0.00339864682831584,-0.00339864682831584,Long,-0.00118153387198468,-1,FALSE,FALSE,FALSE,FALSE
2025-01-03T08:15:00Z,2656.03,2656.27,2651.81,2652.75,0,vertical,6,3.39264813183448e-05,0.743049383163452,0.506238996982575,1,1,1,-0.00272541446247064,-0.00272541446247064,Long,3.39264813183448e-05,0,FALSE,TRUE,FALSE,FALSE
2025-01-03T12:45:00Z,2658.24,2658.65,2656.65,2657.51,-1,lower,5,-0.00137797593747912,0.599922060966492,0.574487090110779,1,1,1,-0.00444635417437423,-0.00444635417437423,Long,-0.00137797593747912,-1,FALSE,FALSE,FALSE,FALSE
2025-01-03T14:00:00Z,2655.19,2656.22,2653.38,2655.34,-1,lower,1,-0.00135999717631342,0.963093638420105,0.97102552652359,-1,1,1,-0.00220553811202031,0.00220553811202031,Short,0.00135999717631342,-1,TRUE,TRUE,TRUE,TRUE
2025-01-03T14:15:00Z,2655.35,2656.23,2647.93,2649.49,-1,lower,1,-0.00192007308062501,0.941427230834961,0.936860144138336,1,1,1,-0.00149574533742782,-0.00149574533742782,Long,-0.00192007308062501,-1,FALSE,FALSE,FALSE,FALSE
2025-01-03T14:30:00Z,2649.5,2651.08,2643.44,2645.53,1,upper,4,0.00232019733680695,0.7697793841362,0.75401508808136,1,1,1,-0.00199023865309332,-0.00199023865309332,Long,0.00232019733680695,1,TRUE,TRUE,FALSE,TRUE
2025-01-06T06:30:00Z,2634.55,2634.95,2632.24,2632.95,0,vertical,6,-0.000349479013923405,0.641476452350617,0.413151353597641,1,1,0,0.00124876894837428,0.00124876894837428,Long,-0.000349479013923405,0,FALSE,FALSE,TRUE,FALSE
2025-01-06T08:00:00Z,2631.46,2633.63,2631.27,2632.03,-1,lower,2,-0.00135693879141102,0.763048410415649,0.787201642990112,-1,1,1,-0.00160841734881914,0.00160841734881914,Short,0.00135693879141102,-1,TRUE,TRUE,TRUE,TRUE
2025-01-06T08:30:00Z,2630.92,2631.1,2625.04,2625.68,1,upper,4,0.00167902247452394,0.509532868862152,0.531951487064362,-1,1,1,0.00401374942110801,-0.00401374942110801,Short,-0.00167902247452394,1,FALSE,FALSE,FALSE,FALSE
2025-01-06T12:00:00Z,2633.72,2637.05,2632.49,2636.24,1,upper,1,0.00167210792252512,0.889496266841888,0.918755888938904,-1,1,1,0.00324178854792105,-0.00324178854792105,Short,-0.00167210792252512,1,FALSE,FALSE,FALSE,FALSE
