"entry_i","exit_i","direction","exit_reason","ret","year","entry_date","exit_date"
111,129,-1,"Trail_SL",0.00501034163664105,2023,2023-01-31 04:30:00,2023-01-31 09:00:00
155,156,1,"SL",-0.00004,2023,2023-01-31 15:30:00,2023-01-31 15:45:00
224,233,-1,"SL",-0.00004,2023,2023-02-01 09:45:00,2023-02-01 12:00:00
246,258,-1,"TP2",0.00967983815301303,2023,2023-02-01 15:15:00,2023-02-01 18:15:00
272,341,1,"SL",-0.0105339168376402,2023,2023-02-01 21:45:00,2023-02-02 16:00:00
346,377,-1,"Trail_SL",0.0112397039698527,2023,2023-02-02 17:15:00,2023-02-03 02:00:00
418,427,1,"SL",-0.00609774019620755,2023,2023-02-03 12:15:00,2023-02-03 14:30:00
427,453,-1,"TP2",0.0118247957544837,2023,2023-02-03 14:30:00,2023-02-03 21:00:00
501,522,-1,"SL",-0.00004,2023,2023-02-06 10:00:00,2023-02-06 15:15:00
524,530,-1,"SL",-0.00004,2023,2023-02-06 15:45:00,2023-02-06 17:15:00
532,628,-1,"SL",-0.00941044177452057,2023,2023-02-06 17:45:00,2023-02-07 18:45:00
633,701,1,"Trail_SL",0.0112246020188067,2023,2023-02-07 20:00:00,2023-02-08 14:00:00
706,715,-1,"TP2",0.00975401037839505,2023,2023-02-08 15:15:00,2023-02-08 17:30:00
761,774,1,"TP2",0.00534150345212361,2023,2023-02-09 06:00:00,2023-02-09 09:15:00
786,802,1,"Trail_SL",0.00300658723635409,2023,2023-02-09 12:15:00,2023-02-09 16:15:00
805,809,-1,"SL",-0.0080598626431962,2023,2023-02-09 17:00:00,2023-02-09 18:00:00
813,845,1,"SL",-0.0102258046450283,2023,2023-02-09 19:00:00,2023-02-10 04:00:00
885,929,-1,"Trail_SL",0.0084783541309551,2023,2023-02-10 14:00:00,2023-02-13 02:00:00
929,932,-1,"SL",-0.00426146466893133,2023,2023-02-13 02:00:00,2023-02-13 02:45:00
935,954,-1,"SL",-0.0049715183776829,2023,2023-02-13 03:30:00,2023-02-13 08:15:00
956,965,1,"SL",-0.00438322154905822,2023,2023-02-13 08:45:00,2023-02-13 11:00:00
966,971,-1,"SL",-0.00528449404728669,2023,2023-02-13 11:15:00,2023-02-13 12:30:00
974,978,1,"SL",-0.00574729051758333,2023,2023-02-13 13:15:00,2023-02-13 14:15:00
984,1071,1,"SL",-0.00004,2023,2023-02-13 15:45:00,2023-02-14 14:30:00
1078,1084,1,"SL",-0.0111935491365397,2023,2023-02-14 16:15:00,2023-02-14 17:45:00
1086,1169,-1,"TP2",0.0168403024004153,2023,2023-02-14 18:15:00,2023-02-15 15:45:00
1175,1211,-1,"SL",-0.00813263190850514,2023,2023-02-15 17:15:00,2023-02-16 03:15:00
1213,1236,1,"TP2",0.00599246044061428,2023,2023-02-16 03:45:00,2023-02-16 09:30:00
1264,1301,1,"SL",-0.00004,2023,2023-02-16 16:30:00,2023-02-17 02:45:00
1313,1319,-1,"SL",-0.00004,2023,2023-02-17 05:45:00,2023-02-17 07:15:00
1331,1356,-1,"SL",-0.00715100073975037,2023,2023-02-17 10:15:00,2023-02-17 16:30:00
1358,1390,1,"SL",-0.00004,2023,2023-02-17 17:00:00,2023-02-20 02:00:00
1410,1438,1,"TP2",0.00646518320321512,2023,2023-02-20 07:00:00,2023-02-20 14:00:00
1500,1502,1,"SL",-0.00567694460729676,2023,2023-02-21 09:00:00,2023-02-21 09:30:00
1510,1515,-1,"SL",-0.00776605179184404,2023,2023-02-21 11:30:00,2023-02-21 12:45:00
1584,1599,-1,"Trail_SL",0.00509465123739063,2023,2023-02-22 07:00:00,2023-02-22 10:45:00
1632,1672,1,"SL",-0.00679724524483708,2023,2023-02-22 19:00:00,2023-02-23 06:00:00
1672,1684,-1,"TP2",0.00640493521540376,2023,2023-02-23 06:00:00,2023-02-23 09:00:00
1712,1716,-1,"TP2",0.0115500618881747,2023,2023-02-23 16:00:00,2023-02-23 17:00:00
1773,1776,-1,"SL",-0.00004,2023,2023-02-24 08:15:00,2023-02-24 09:00:00
