datetime,open,close,high,low,volume,hour,date,atr,atr_pct,in_session,bars_until_session_end,label,barrier_touched,bars_to_exit,realized_return,upper_barrier,lower_barrier,effective_horizon,n_concurrent,sample_weight,entry_time,exit_time
2019-02-22T03:30:00Z,1325.84,1326,1326.34,1325.84,1911,3,2019-02-22,0.896000000000004,0.0675716440422326,TRUE,66,0,vertical,20,-0.000422322775263911,1328.24,1323.76,20,1,1,2019-02-22T03:30:00Z,2019-02-22T08:30:00Z
2019-02-22T10:45:00Z,1323.05,1323.3,1323.46,1322.6,3170,10,2019-02-22,0.997392878861876,0.0753716374867283,TRUE,37,1,upper,14,0.00188429093716819,1325.79348219715,1320.80651780285,20,1,1,2019-02-22T10:45:00Z,2019-02-22T14:15:00Z
2019-02-22T14:30:00Z,1326.16,1326.1,1326.3,1325.15,4207,14,2019-02-22,1.2665890949896,0.0955123365500037,TRUE,22,1,upper,1,0.00238780841375002,1329.26647273747,1322.93352726253,20,1,1,2019-02-22T14:30:00Z,2019-02-22T14:45:00Z
2019-02-22T14:45:00Z,1326.11,1328.77,1330.02,1325.8,7695,14,2019-02-22,1.56193018549064,0.117547068754611,TRUE,21,1,upper,13,0.0029386767188653,1332.67482546373,1324.86517453627,20,2,0.5,2019-02-22T14:45:00Z,2019-02-22T18:00:00Z
2019-02-25T02:00:00Z,1329.54,1328.97,1330.72,1328.94,4122,2,2019-02-25,0.982554686814387,0.0739335490503463,TRUE,72,1,upper,7,0.00184833872625861,1331.42638671704,1326.51361328296,20,1,1,2019-02-25T02:00:00Z,2019-02-25T03:45:00Z
2019-02-25T14:30:00Z,1326.91,1330.38,1330.38,1326.91,5220,14,2019-02-25,1.49338915488099,0.112252826627053,TRUE,22,-1,lower,14,-0.00280632066567629,1334.1134728872,1326.6465271128,20,1,1,2019-02-25T14:30:00Z,2019-02-25T18:00:00Z
2019-02-26T02:00:00Z,1327.25,1327.48,1328.13,1326.92,2385,2,2019-02-26,0.668457954845272,0.0503554068494645,TRUE,72,1,upper,6,0.00125888517123654,1329.15114488711,1325.80885511289,20,1,1,2019-02-26T02:00:00Z,2019-02-26T03:30:00Z
2019-02-26T08:45:00Z,1325.15,1324.9,1325.69,1324.61,3385,8,2019-02-26,0.922352683214775,0.0696167773578968,TRUE,45,1,upper,11,0.00174041943394735,1327.20588170804,1322.59411829196,20,1,1,2019-02-26T08:45:00Z,2019-02-26T11:30:00Z
2019-02-27T02:00:00Z,1328.61,1328.72,1328.81,1328.61,90,2,2019-02-27,0.546549625102414,0.0411335439447298,TRUE,72,-1,lower,6,-0.00102833859861821,1330.08637406276,1327.35362593724,20,1,1,2019-02-27T02:00:00Z,2019-02-27T03:30:00Z
2019-02-27T05:30:00Z,1327.72,1327.69,1327.73,1327.54,350,5,2019-02-27,0.609894662592179,0.0459365260408815,TRUE,58,-1,lower,14,-0.001148413151022,1329.21473665648,1326.16526334352,20,1,1,2019-02-27T05:30:00Z,2019-02-27T09:00:00Z
2019-02-28T02:00:00Z,1320.59,1320.45,1320.97,1320.22,2303,2,2019-02-28,0.650469073353783,0.0492611665230628,TRUE,72,-1,lower,1,-0.00123152916307663,1322.07617268338,1318.82382731662,20,1,1,2019-02-28T02:00:00Z,2019-02-28T02:15:00Z
2019-02-28T02:15:00Z,1320.46,1318.91,1320.52,1318.77,2811,2,2019-02-28,0.760422166018405,0.0576553491912568,TRUE,71,0,vertical,20,-6.06561478798058e-05,1320.81105541505,1317.00894458495,20,2,0.5,2019-02-28T02:15:00Z,2019-02-28T07:15:00Z
2019-02-28T08:30:00Z,1321.82,1322.41,1322.95,1321.49,3433,8,2019-02-28,0.873648548707622,0.0660648776633285,TRUE,46,1,upper,7,0.00165162194158328,1324.59412137177,1320.22587862823,20,1,1,2019-02-28T08:30:00Z,2019-02-28T10:15:00Z
2019-02-28T14:45:00Z,1321.21,1320.88,1322,1320.12,6721,14,2019-02-28,1.40160136228335,0.106111180598037,TRUE,21,-1,lower,4,-0.00265277951495088,1324.38400340571,1317.37599659429,20,1,1,2019-02-28T14:45:00Z,2019-02-28T15:45:00Z
2019-02-28T16:00:00Z,1317.21,1316.72,1319.31,1316.34,7823,16,2019-02-28,1.73563978841471,0.131815404065762,TRUE,16,0,vertical,15,-0.0016556291390729,1321.05909947104,1312.38090052896,15,1,1,2019-02-28T16:00:00Z,2019-02-28T19:45:00Z
2019-03-01T02:00:00Z,1313.23,1314.05,1314.35,1312.99,2317,2,2019-03-01,0.958784318682884,0.0729640667160979,TRUE,72,-1,lower,19,-0.00182410166790241,1316.44696079671,1311.65303920329,20,1,1,2019-03-01T02:00:00Z,2019-03-01T06:45:00Z
2019-03-01T08:15:00Z,1309.96,1309.77,1310.23,1309.27,3138,8,2019-03-01,0.953292372452889,0.0727831888387189,TRUE,47,-1,lower,3,-0.00181957972096794,1312.15323093113,1307.38676906887,20,1,1,2019-03-01T08:15:00Z,2019-03-01T09:00:00Z
2019-03-04T02:00:00Z,1294.58,1296.04,1296.04,1294.48,3324,2,2019-03-04,1.30239312396726,0.100490195053182,TRUE,72,-1,vertical,20,-0.00182864726397325,1299.29598280992,1292.78401719008,20,1,1,2019-03-04T02:00:00Z,2019-03-04T07:00:00Z
2019-03-04T09:45:00Z,1288.17,1287.39,1288.34,1286.22,6179,9,2019-03-04,1.28391494856219,0.0997300700302309,TRUE,41,0,vertical,20,-0.000434988620387119,1290.59978737141,1284.18021262859,20,1,1,2019-03-04T09:45:00Z,2019-03-04T14:45:00Z
2019-03-05T02:00:00Z,1286.37,1286.58,1287.08,1286.16,2271,2,2019-03-05,0.792569603853501,0.061602823287592,TRUE,72,1,upper,9,0.00154007058218973,1288.56142400963,1284.59857599037,20,1,1,2019-03-05T02:00:00Z,2019-03-05T04:15:00Z
2019-03-05T08:30:00Z,1285.1,1285.34,1285.73,1284.93,3437,8,2019-03-05,0.839464103613408,0.0653106651635683,TRUE,46,0,vertical,20,-0.000295641620115986,1287.43866025903,1283.24133974097,20,1,1,2019-03-05T08:30:00Z,2019-03-05T13:30:00Z
2019-03-05T16:15:00Z,1283.15,1282.71,1283.84,1282.26,7382,16,2019-03-05,1.57407426208107,0.122714741608085,TRUE,15,1,upper,14,0.0030678685402022,1286.6451856552,1278.7748143448,14,1,1,2019-03-05T16:15:00Z,2019-03-05T19:45:00Z
2019-03-06T02:00:00Z,1288.18,1287.12,1288.18,1286.68,3245,2,2019-03-06,0.880536903582577,0.0684114071401716,TRUE,72,0,vertical,20,0.000877929019827296,1289.32134225896,1284.91865774104,20,1,1,2019-03-06T02:00:00Z,2019-03-06T07:00:00Z
2019-03-07T02:00:00Z,1287.51,1287,1287.59,1286.75,1697,2,2019-03-07,0.699858665461625,0.0543790726854409,TRUE,72,-1,lower,18,-0.00135947681713611,1288.74964666365,1285.25035333635,20,1,1,2019-03-07T02:00:00Z,2019-03-07T06:30:00Z
2019-03-07T06:45:00Z,1284.75,1284.36,1284.97,1284.3,2282,6,2019-03-07,0.562983561076656,0.0438337818895524,TRUE,53,-1,lower,9,-0.00109584454723877,1285.76745890269,1282.95254109731,20,1,1,2019-03-07T06:45:00Z,2019-03-07T09:00:00Z
2019-03-07T09:15:00Z,1283.34,1285.34,1285.51,1283.03,4740,9,2019-03-07,1.16341419602417,0.0905141204680609,TRUE,43,1,upper,18,0.00226285301170144,1288.24853549006,1282.43146450994,20,1,1,2019-03-07T09:15:00Z,2019-03-07T13:45:00Z
2019-03-07T14:45:00Z,1283.85,1284.82,1285.34,1283.8,7151,14,2019-03-07,1.51796586840058,0.118146189224995,TRUE,21,0,vertical,20,0.000957332544636617,1288.614914671,1281.025085329,20,1,1,2019-03-07T14:45:00Z,2019-03-07T19:45:00Z
2019-03-08T02:00:00Z,1286.41,1285.37,1286.42,1285.16,3038,2,2019-03-08,0.726673912662922,0.0565342207039935,TRUE,72,1,upper,7,0.0014133555175999,1287.18668478166,1283.55331521834,20,1,1,2019-03-08T02:00:00Z,2019-03-08T03:45:00Z
2019-03-08T07:00:00Z,1290.69,1290.83,1290.98,1289.76,3401,7,2019-03-08,0.707719740123295,0.0548267192522094,TRUE,52,1,upper,1,0.00137066798130529,1292.59929935031,1289.06070064969,20,1,1,2019-03-08T07:00:00Z,2019-03-08T07:15:00Z
2019-03-08T07:15:00Z,1290.81,1292.82,1293.17,1290.81,4505,7,2019-03-08,0.872947766110978,0.0675227615685848,TRUE,51,1,upper,12,0.00168806903921461,1295.00236941528,1290.63763058472,20,2,0.5,2019-03-08T07:15:00Z,2019-03-08T10:15:00Z
