datetime,open,close,high,low,volume,hour,date,atr,atr_pct,in_session,bars_until_session_end,label,barrier_touched,bars_to_exit,realized_return,upper_barrier,lower_barrier,effective_horizon,n_concurrent,sample_weight,label_original,entry_time,exit_time,log_return,realized_return_adj,log_return_adj
2019-02-22T03:30:00Z,1325.84,1326,1326.34,1325.84,1911,3,2019-02-22,0.896000000000004,0.0675716440422326,TRUE,66,0,vertical,20,-0.000422322775263911,1328.24,1323.76,20,1,1,0,2019-02-22T03:30:00Z,2019-02-22T08:30:00Z,-0.0004224119786431,-0.000552322775263911,-0.000552475361675216
2019-02-22T08:30:00Z,1325.86,1325.44,1326.01,1325.18,2084,8,2019-02-22,0.757285019202556,0.057134613351231,TRUE,46,-1,lower,8,-0.00142836533378081,1327.33321254801,1323.54678745199,20,2,0.5,-1,2019-02-22T08:30:00Z,2019-02-22T10:30:00Z,-0.00142938641998272,-0.00155836533378081,-0.0015595808480119
2019-02-22T10:30:00Z,1323.96,1323.03,1324.17,1322.95,2793,10,2019-02-22,1.01265875429096,0.0765408761926002,TRUE,38,1,upper,15,0.00191352190481506,1325.56164688573,1320.49835311427,20,2,0.5,1,2019-02-22T10:30:00Z,2019-02-22T14:15:00Z,0.00191169345392386,0.00178352190481506,0.00178193331819476
2019-02-22T14:15:00Z,1322.22,1326.17,1326.83,1322.18,7444,14,2019-02-22,1.27954343887735,0.096484118844292,TRUE,23,1,upper,2,0.00241210297110724,1329.36885859719,1322.97114140281,20,2,0.5,1,2019-02-22T14:15:00Z,2019-02-22T14:45:00Z,0.00240919852035424,0.00228210297110724,0.00227950292907967
2019-02-22T14:45:00Z,1326.11,1328.77,1330.02,1325.8,7695,14,2019-02-22,1.56193018549064,0.117547068754611,TRUE,21,1,upper,13,0.0029386767188653,1332.67482546373,1324.86517453627,20,2,0.5,1,2019-02-22T14:45:00Z,2019-02-22T18:00:00Z,0.00293436724913088,0.0028086767188653,0.00280473975645671
2019-02-22T18:00:00Z,1330.71,1331.65,1333.04,1330.68,5833,18,2019-02-22,1.49262683644224,0.112088524495343,TRUE,8,0,vertical,7,-0.00119400743438602,1335.38156709111,1327.91843290889,7,2,0.5,0,2019-02-22T18:00:00Z,2019-02-22T19:45:00Z,-0.00119472082918504,-0.00132400743438602,-0.00132488470665798
2019-02-25T02:00:00Z,1329.54,1328.97,1330.72,1328.94,4122,2,2019-02-25,0.982554686814387,0.0739335490503463,TRUE,72,1,upper,7,0.00184833872625861,1331.42638671704,1326.51361328296,20,1,1,1,2019-02-25T02:00:00Z,2019-02-25T03:45:00Z,0.00184663265018267,0.00171833872625862,0.00171686407133239
2019-02-25T03:45:00Z,1330.35,1331.39,1331.49,1330.27,2434,3,2019-02-25,0.952577973783776,0.0715476287026173,TRUE,65,-1,lower,17,-0.00178869071756549,1333.77144493446,1329.00855506554,20,2,0.5,-1,2019-02-25T03:45:00Z,2019-02-25T08:00:00Z,-0.00179029233495743,-0.00191869071756549,-0.00192053376246638
2019-02-25T08:00:00Z,1330.55,1329.48,1330.73,1328.97,3755,8,2019-02-25,0.864930763980188,0.0650578244110621,TRUE,48,0,vertical,20,0.000609260763606783,1331.64232690995,1327.31767309005,20,2,0.5,0,2019-02-25T08:00:00Z,2019-02-25T13:00:00Z,0.00060907523961892,0.000479260763606783,0.000479145954847817
2019-02-25T13:00:00Z,1330.45,1330.29,1330.54,1329.97,2711,13,2019-02-25,0.863174698378504,0.0648862051416236,TRUE,28,-1,lower,5,-0.00162215512854058,1332.44793674595,1328.13206325405,20,2,0.5,-1,2019-02-25T13:00:00Z,2019-02-25T14:15:00Z,-0.00162347224674385,-0.00175215512854058,-0.00175369194776393
2019-02-25T14:15:00Z,1329.04,1326.92,1329.04,1325.05,7528,14,2019-02-25,1.27376572764554,0.0959941614901832,TRUE,23,1,upper,1,0.00239985403725453,1330.10441431911,1323.73558568089,20,2,0.5,1,2019-02-25T14:15:00Z,2019-02-25T14:30:00Z,0.00239697898643726,0.00226985403725453,0.00226728181023055
2019-02-25T14:30:00Z,1326.91,1330.38,1330.38,1326.91,5220,14,2019-02-25,1.49338915488099,0.112252826627053,TRUE,22,-1,lower,14,-0.00280632066567629,1334.1134728872,1326.6465271128,20,2,0.5,-1,2019-02-25T14:30:00Z,2019-02-25T18:00:00Z,-0.00281026576605543,-0.00293632066567629,-0.00294064011279561
2019-02-25T18:00:00Z,1327.38,1326.82,1327.52,1326.38,3916,18,2019-02-25,1.44255145964396,0.108722468733058,TRUE,8,0,vertical,7,0.000309009511463561,1330.42637864911,1323.21362135089,7,2,0.5,0,2019-02-25T18:00:00Z,2019-02-25T19:45:00Z,0.000308961777857594,0.000179009511463561,0.000178993491172776
2019-02-26T02:00:00Z,1327.25,1327.48,1328.13,1326.92,2385,2,2019-02-26,0.668457954845272,0.0503554068494645,TRUE,72,1,upper,6,0.00125888517123654,1329.15114488711,1325.80885511289,20,1,1,1,2019-02-26T02:00:00Z,2019-02-26T03:30:00Z,0.00125809343969574,0.00112888517123654,0.00112824845950953
2019-02-26T03:30:00Z,1328.21,1329.04,1329.29,1328.04,2540,3,2019-02-26,0.674503043980917,0.0507511469918827,TRUE,66,-1,lower,18,-0.00126877867479702,1330.72625760995,1327.35374239005,20,2,0.5,-1,2019-02-26T03:30:00Z,2019-02-26T08:00:00Z,-0.00126958425593471,-0.00139877867479702,-0.0013997578789206
