Strategy,Instrument,Symbol,Params,Param_period,Param_lower,Param_upper,Param_exit_mid,Param_atr_period,Param_sl_atr_mult,Param_tp_atr_mult,Cost_bps_side,Execution,Bars_per_Year,Bars_IS,Bars_OS,IS_Sharpe,IS_Sortino,IS_ProfitFactor,IS_Trades,OS_Sharpe,OS_Sortino,OS_Calmar,OS_CAGR,OS_MaxDD,OS_TotalReturn,OS_WinRate,OS_ProfitFactor,OS_Trades,OS_Exposure,Worst_Year_Ret,Yearly_Breakdown,Error,F1_OS_MaxDD_above_neg15,F2_OS_PF_gt_1.2,F3_OS_Sortino_gt_1.0,F4_OS_Calmar_gt_0.5,F5_IS_PF_gt_1.0,F6_OS_WinRate_band,F7_AllYearsProfitable,Active_Filters,PASSED_ALL,Param_entry_z,Param_exit_z,Param_ema_period,Param_mult,Param_threshold,Param_exit_level,Param_cmo_period,Param_cmo_threshold,Param_vhf_period,Param_vhf_threshold,Param_stc_fast,Param_stc_slow,Param_stc_cycle,Param_stc_entry_long,Param_stc_entry_short,Param_lookback,Param_exit_n,Param_tenkan_n,Param_kijun_n,Param_senkou_b_n,Param_displacement,Param_cloud_filter,Param_min_session_bar,Param_flat_overnight,Param_fast,Param_slow,Param_st_period,Param_st_mult,Param_bb_mult,Param_kc_mult,Param_signal,Param_trend_len,Param_session_start_h,Param_session_end_h,Param_or_bars,Param_last_entry_h,Param_ema_len,Param_rsi_len,Param_rsi_buy,Param_rsi_sell,Param_prev_close_h,Param_sess_start_h,Param_sess_start_m,Param_exit_h,Param_exit_m,Param_gap_thresh,Param_direction,Param_or_candles,Param_gap_atr_mult,Param_atr_n,Param_adx_filter,Param_vol_lookback,Param_vol_threshold,Param_kc_length,Param_ma_fast_len,Param_ma_slow_len,Param_min_range,Param_breakout_window,Param_min_kc_dist_pct,Param_rsi_length,Param_div_lookback,Param_max_dtd_pct
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=7, lower=20, upper=65, exit_mid=True, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2.0",7.0,20.0,65.0,True,10,1.5,2.0,0.22,next_open,72576,99188,42510,-2.321,-1.262,0.94,4144,-2.641,-1.389,-1.468,-0.2692,-0.1833,-0.1678,0.5512,0.895,1709,0.219,-0.2236,2024:-12.9% 2025:-22.4% 2026:-2.4%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=7, lower=20, upper=65, exit_mid=True, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=3.0",7.0,20.0,65.0,True,10,1.5,3.0,0.22,next_open,72576,99188,42510,-2.496,-1.36,0.932,4144,-2.69,-1.416,-1.522,-0.2746,-0.1804,-0.1714,0.5506,0.893,1709,0.221,-0.231,2024:-13.6% 2025:-23.1% 2026:-3.0%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=7, lower=20, upper=65, exit_mid=True, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=2.0",7.0,20.0,65.0,True,10,2.5,2.0,0.22,next_open,72576,99188,42510,-2.564,-1.53,0.918,4144,-3.653,-2.079,-1.519,-0.3883,-0.2557,-0.2502,0.6214,0.84,1709,0.288,-0.2863,2024:-15.1% 2025:-28.6% 2026:-7.9%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=7, lower=20, upper=65, exit_mid=True, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=3.0",7.0,20.0,65.0,True,10,2.5,3.0,0.22,next_open,72576,99188,42510,-2.715,-1.626,0.911,4144,-3.732,-2.127,-1.516,-0.396,-0.2612,-0.2557,0.6208,0.837,1709,0.291,-0.2897,2024:-16.5% 2025:-29.0% 2026:-8.5%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=7, lower=20, upper=65, exit_mid=True, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=2.0",7.0,20.0,65.0,True,14,1.5,2.0,0.22,next_open,72576,99188,42510,-2.468,-1.332,0.935,4144,-2.304,-1.223,-1.26,-0.2343,-0.186,-0.1448,0.5453,0.914,1709,0.216,-0.2322,2024:-13.3% 2025:-23.2% 2026:+0.8%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=7, lower=20, upper=65, exit_mid=True, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=3.0",7.0,20.0,65.0,True,14,1.5,3.0,0.22,next_open,72576,99188,42510,-2.56,-1.388,0.93,4144,-2.8,-1.474,-1.531,-0.282,-0.1842,-0.1764,0.543,0.889,1709,0.219,-0.2364,2024:-13.5% 2025:-23.6% 2026:-3.3%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=7, lower=20, upper=65, exit_mid=True, atr_period=14, sl_atr_mult=2.5, tp_atr_mult=2.0",7.0,20.0,65.0,True,14,2.5,2.0,0.22,next_open,72576,99188,42510,-2.769,-1.644,0.91,4144,-3.205,-1.83,-1.544,-0.3454,-0.2237,-0.2198,0.6226,0.863,1709,0.285,-0.2868,2024:-16.1% 2025:-28.7% 2026:-4.8%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=7, lower=20, upper=65, exit_mid=True, atr_period=14, sl_atr_mult=2.5, tp_atr_mult=3.0",7.0,20.0,65.0,True,14,2.5,3.0,0.22,next_open,72576,99188,42510,-2.829,-1.689,0.907,4144,-3.629,-2.063,-1.529,-0.3862,-0.2526,-0.2487,0.6214,0.842,1709,0.289,-0.2898,2024:-16.7% 2025:-29.0% 2026:-8.3%,,False,False,False,False,False,True,False,"F1,F2,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=7, lower=20, upper=70, exit_mid=True, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2.0",7.0,20.0,70.0,True,10,1.5,2.0,0.22,next_open,72576,99188,42510,-3.037,-1.463,0.892,3235,-1.304,-0.624,-1.205,-0.1366,-0.1133,-0.0824,0.5457,0.953,1356,0.183,-0.1893,2024:-15.6% 2025:-18.9% 2026:+1.2%,,True,False,False,False,False,True,False,"F1,F2,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=7, lower=20, upper=70, exit_mid=True, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=3.0",7.0,20.0,70.0,True,10,1.5,3.0,0.22,next_open,72576,99188,42510,-3.226,-1.563,0.883,3235,-1.233,-0.591,-1.252,-0.1302,-0.1039,-0.0784,0.545,0.957,1356,0.185,-0.1904,2024:-16.3% 2025:-19.0% 2026:+0.6%,,True,False,False,False,False,True,False,"F1,F2,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
