Strategy,Instrument,Symbol,Params,Param_period,Param_lower,Param_upper,Param_exit_mid,Param_atr_period,Param_sl_atr_mult,Param_tp_atr_mult,Cost_bps_side,Execution,Bars_per_Year,Bars_IS,Bars_OS,IS_Sharpe,IS_Sortino,IS_ProfitFactor,IS_Trades,OS_Sharpe,OS_Sortino,OS_Calmar,OS_CAGR,OS_MaxDD,OS_TotalReturn,OS_WinRate,OS_ProfitFactor,OS_Trades,OS_Exposure,Worst_Year_Ret,Yearly_Breakdown,Error,F1_OS_MaxDD_above_neg15,F2_OS_PF_gt_1.2,F3_OS_Sortino_gt_1.0,F4_OS_Calmar_gt_0.5,F5_IS_PF_gt_1.0,F6_OS_WinRate_band,F7_AllYearsProfitable,Active_Filters,PASSED_ALL,Param_entry_z,Param_exit_z,Param_ema_period,Param_mult,Param_cmo_period,Param_cmo_threshold,Param_vhf_period,Param_vhf_threshold,Param_stc_fast,Param_stc_slow,Param_stc_cycle,Param_stc_entry_long,Param_stc_entry_short,Param_lookback,Param_exit_n,Param_tenkan_n,Param_kijun_n,Param_senkou_b_n,Param_displacement,Param_cloud_filter,Param_fast,Param_slow,Param_min_session_bar,Param_flat_overnight,Param_signal,Param_trend_len,Param_session_start_h,Param_session_end_h,Param_or_bars,Param_last_entry_h,Param_bb_mult,Param_kc_mult,Param_ema_len,Param_rsi_len,Param_rsi_buy,Param_rsi_sell,Param_prev_close_h,Param_sess_start_h,Param_sess_start_m,Param_exit_h,Param_exit_m,Param_gap_thresh,Param_direction,Param_st_period,Param_st_mult,Param_or_candles,Param_gap_atr_mult,Param_atr_n,Param_adx_filter,Param_vol_lookback,Param_vol_threshold,Param_kc_length,Param_ma_fast_len,Param_ma_slow_len,Param_min_range,Param_breakout_window,Param_min_kc_dist_pct,Param_rsi_length,Param_div_lookback,Param_max_dtd_pct,Param_threshold,Param_exit_level
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=24, lower=20, upper=65, exit_mid=True, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2.0",24.0,20.0,65.0,True,10,1.5,2.0,0.22,next_open,72576,171799,73629,-2.108,-0.477,0.787,909,-1.669,-0.365,-0.847,-0.0995,-0.1176,-0.1009,0.4237,0.799,380,0.046,-0.1093,2023:-5.0% 2024:-7.1% 2025:-10.9% 2026:-4.5%,,True,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=24, lower=20, upper=65, exit_mid=True, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=3.0",24.0,20.0,65.0,True,10,1.5,3.0,0.22,next_open,72576,171799,73629,-2.079,-0.525,0.785,909,-1.715,-0.418,-0.806,-0.1098,-0.1363,-0.1113,0.3684,0.791,380,0.058,-0.1039,2023:-5.5% 2024:-8.4% 2025:-10.4% 2026:-5.8%,,True,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=24, lower=20, upper=65, exit_mid=True, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=2.0",24.0,20.0,65.0,True,10,2.5,2.0,0.22,next_open,72576,171799,73629,-2.019,-0.558,0.79,909,-1.156,-0.315,-0.783,-0.0843,-0.1077,-0.0855,0.55,0.857,380,0.073,-0.0969,2023:-5.5% 2024:-7.4% 2025:-9.7% 2026:-6.2%,,True,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=24, lower=20, upper=65, exit_mid=True, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=3.0",24.0,20.0,65.0,True,10,2.5,3.0,0.22,next_open,72576,171799,73629,-1.957,-0.598,0.798,909,-1.098,-0.332,-0.73,-0.0869,-0.119,-0.0881,0.5,0.866,380,0.09,-0.0979,2023:-5.1% 2024:-9.5% 2025:-9.8% 2026:-5.5%,,True,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=24, lower=20, upper=65, exit_mid=True, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=2.0",24.0,20.0,65.0,True,14,1.5,2.0,0.22,next_open,72576,171799,73629,-1.724,-0.378,0.831,909,-2.503,-0.506,-0.877,-0.1286,-0.1466,-0.1303,0.4,0.73,380,0.041,-0.1248,2023:-2.2% 2024:-5.7% 2025:-12.5% 2026:-6.2%,,True,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=24, lower=20, upper=65, exit_mid=True, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=3.0",24.0,20.0,65.0,True,14,1.5,3.0,0.22,next_open,72576,171799,73629,-1.747,-0.432,0.822,909,-2.458,-0.56,-0.83,-0.1379,-0.1662,-0.1398,0.3447,0.728,380,0.053,-0.1079,2023:-4.3% 2024:-6.7% 2025:-10.8% 2026:-7.7%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=24, lower=20, upper=65, exit_mid=True, atr_period=14, sl_atr_mult=2.5, tp_atr_mult=2.0",24.0,20.0,65.0,True,14,2.5,2.0,0.22,next_open,72576,171799,73629,-1.836,-0.487,0.813,909,-0.981,-0.26,-0.743,-0.0697,-0.0937,-0.0706,0.55,0.882,380,0.068,-0.1005,2023:-3.0% 2024:-6.8% 2025:-10.1% 2026:-4.6%,,True,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=24, lower=20, upper=65, exit_mid=True, atr_period=14, sl_atr_mult=2.5, tp_atr_mult=3.0",24.0,20.0,65.0,True,14,2.5,3.0,0.22,next_open,72576,171799,73629,-1.764,-0.524,0.819,909,-0.929,-0.277,-0.67,-0.0731,-0.109,-0.0741,0.4974,0.886,380,0.087,-0.0872,2023:-3.9% 2024:-8.7% 2025:-8.5% 2026:-4.8%,,True,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=24, lower=20, upper=70, exit_mid=True, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2.0",24.0,20.0,70.0,True,10,1.5,2.0,0.22,next_open,72576,171799,73629,-0.594,-0.106,0.924,468,-0.387,-0.06,-0.266,-0.0187,-0.0701,-0.0189,0.4649,0.944,185,0.023,-0.0574,2023:-0.8% 2024:-1.7% 2025:+2.3% 2026:-5.7%,,True,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=24, lower=20, upper=70, exit_mid=True, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=3.0",24.0,20.0,70.0,True,10,1.5,3.0,0.22,next_open,72576,171799,73629,-0.863,-0.176,0.875,468,-0.313,-0.057,-0.237,-0.0185,-0.0778,-0.0187,0.4162,0.949,185,0.033,-0.0644,2023:-1.5% 2024:-3.7% 2025:+3.2% 2026:-6.4%,,True,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=24, lower=20, upper=70, exit_mid=True, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=2.0",24.0,20.0,70.0,True,10,2.5,2.0,0.22,next_open,72576,171799,73629,-0.95,-0.198,0.864,468,-0.63,-0.115,-0.481,-0.0357,-0.0743,-0.0362,0.5351,0.898,185,0.033,-0.0603,2023:-4.1% 2024:-0.9% 2025:-0.5% 2026:-6.0%,,True,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSI_MeanReversion,GOLD_MINUTE_5,GOLD,"period=24, lower=20, upper=70, exit_mid=True, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=3.0",24.0,20.0,70.0,True,10,2.5,3.0,0.22,next_open,72576,171799,73629,-0.975,-0.23,0.859,468,-0.369,-0.079,-0.339,-0.0247,-0.0729,-0.025,0.4973,0.937,185,0.046,-0.0578,2023:-4.3% 2024:-1.9% 2025:+0.7% 2026:-5.8%,,True,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
