Strategy,Instrument,Symbol,Params,Param_cmo_period,Param_cmo_threshold,Param_vhf_period,Param_vhf_threshold,Param_stc_fast,Param_stc_slow,Param_stc_cycle,Param_stc_entry_long,Param_stc_entry_short,Param_atr_period,Param_sl_atr_mult,Param_tp_atr_mult,Cost_bps_side,Execution,Bars_per_Year,Bars_IS,Bars_OS,IS_Sharpe,IS_Sortino,IS_ProfitFactor,IS_Trades,OS_Sharpe,OS_Sortino,OS_Calmar,OS_CAGR,OS_MaxDD,OS_TotalReturn,OS_WinRate,OS_ProfitFactor,OS_Trades,OS_Exposure,Worst_Year_Ret,Yearly_Breakdown,Error,F1_OS_MaxDD_above_neg15,F2_OS_PF_gt_1.2,F3_OS_Sortino_gt_1.0,F4_OS_Calmar_gt_0.5,F5_IS_PF_gt_1.0,F6_OS_WinRate_band,F7_AllYearsProfitable,Active_Filters,PASSED_ALL,Param_ema_period,Param_mult,Param_exit_mid,Param_lookback,Param_exit_n,Param_tenkan_n,Param_kijun_n,Param_senkou_b_n,Param_displacement,Param_cloud_filter,Param_min_session_bar,Param_flat_overnight,Param_fast,Param_slow,Param_period,Param_bb_mult,Param_kc_mult,Param_st_period,Param_st_mult,Param_signal,Param_trend_len,Param_session_start_h,Param_session_end_h,Param_or_bars,Param_last_entry_h,Param_ema_len,Param_rsi_len,Param_rsi_buy,Param_rsi_sell
CMO_VHF_STC,COPPER_MINUTE_15,COPPER,"cmo_period=14, cmo_threshold=15.0, vhf_period=28, vhf_threshold=0.3, stc_fast=23, stc_slow=50, stc_cycle=10, stc_entry_long=25.0, stc_entry_short=75.0, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2.0",14.0,15.0,28.0,0.3,23.0,50.0,10.0,25.0,75.0,10,1.5,2.0,1.57,next_open,24192,57194,24513,-2.04,-0.631,0.851,856,-2.688,-0.783,-0.828,-0.2217,-0.2676,-0.2242,0.4258,0.728,357,0.063,-0.2918,2023:-7.7% 2024:-15.7% 2025:-29.2% 2026:+1.7%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMO_VHF_STC,COPPER_MINUTE_15,COPPER,"cmo_period=14, cmo_threshold=15.0, vhf_period=28, vhf_threshold=0.3, stc_fast=23, stc_slow=50, stc_cycle=10, stc_entry_long=25.0, stc_entry_short=75.0, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=3.0",14.0,15.0,28.0,0.3,23.0,50.0,10.0,25.0,75.0,10,1.5,3.0,1.57,next_open,24192,57194,24513,-2.127,-0.666,0.831,856,-2.341,-0.701,-0.836,-0.2039,-0.2439,-0.2063,0.409,0.764,357,0.067,-0.2812,2023:-7.2% 2024:-16.2% 2025:-28.1% 2026:-0.1%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMO_VHF_STC,COPPER_MINUTE_15,COPPER,"cmo_period=14, cmo_threshold=15.0, vhf_period=28, vhf_threshold=0.3, stc_fast=23, stc_slow=50, stc_cycle=10, stc_entry_long=25.0, stc_entry_short=75.0, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=2.0",14.0,15.0,28.0,0.3,23.0,50.0,10.0,25.0,75.0,10,2.5,2.0,1.57,next_open,24192,57194,24513,-2.152,-0.711,0.826,856,-2.154,-0.687,-0.904,-0.1957,-0.2165,-0.198,0.4818,0.779,357,0.08,-0.2781,2023:-10.3% 2024:-14.6% 2025:-27.8% 2026:-0.0%,,False,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMO_VHF_STC,COPPER_MINUTE_15,COPPER,"cmo_period=14, cmo_threshold=15.0, vhf_period=28, vhf_threshold=0.3, stc_fast=23, stc_slow=50, stc_cycle=10, stc_entry_long=25.0, stc_entry_short=75.0, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=3.0",14.0,15.0,28.0,0.3,23.0,50.0,10.0,25.0,75.0,10,2.5,3.0,1.57,next_open,24192,57194,24513,-2.307,-0.772,0.799,856,-1.965,-0.644,-0.842,-0.1891,-0.2247,-0.1913,0.4566,0.799,357,0.086,-0.2805,2023:-9.8% 2024:-15.8% 2025:-28.1% 2026:-2.1%,,False,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMO_VHF_STC,COPPER_MINUTE_15,COPPER,"cmo_period=14, cmo_threshold=15.0, vhf_period=28, vhf_threshold=0.3, stc_fast=23, stc_slow=50, stc_cycle=10, stc_entry_long=25.0, stc_entry_short=75.0, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=2.0",14.0,15.0,28.0,0.3,23.0,50.0,10.0,25.0,75.0,14,1.5,2.0,1.57,next_open,24192,57194,24513,-2.089,-0.644,0.848,856,-2.688,-0.783,-0.827,-0.2148,-0.2597,-0.2174,0.4286,0.738,357,0.061,-0.28,2023:-8.1% 2024:-15.8% 2025:-28.0% 2026:+0.9%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMO_VHF_STC,COPPER_MINUTE_15,COPPER,"cmo_period=14, cmo_threshold=15.0, vhf_period=28, vhf_threshold=0.3, stc_fast=23, stc_slow=50, stc_cycle=10, stc_entry_long=25.0, stc_entry_short=75.0, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=3.0",14.0,15.0,28.0,0.3,23.0,50.0,10.0,25.0,75.0,14,1.5,3.0,1.57,next_open,24192,57194,24513,-2.284,-0.713,0.813,856,-2.377,-0.716,-0.827,-0.202,-0.2444,-0.2044,0.4062,0.765,357,0.066,-0.2797,2023:-8.1% 2024:-17.3% 2025:-28.0% 2026:-0.1%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMO_VHF_STC,COPPER_MINUTE_15,COPPER,"cmo_period=14, cmo_threshold=15.0, vhf_period=28, vhf_threshold=0.3, stc_fast=23, stc_slow=50, stc_cycle=10, stc_entry_long=25.0, stc_entry_short=75.0, atr_period=14, sl_atr_mult=2.5, tp_atr_mult=2.0",14.0,15.0,28.0,0.3,23.0,50.0,10.0,25.0,75.0,14,2.5,2.0,1.57,next_open,24192,57194,24513,-2.135,-0.7,0.83,856,-2.068,-0.655,-0.877,-0.1874,-0.2137,-0.1896,0.493,0.792,357,0.078,-0.2683,2023:-10.7% 2024:-13.9% 2025:-26.8% 2026:-0.1%,,False,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMO_VHF_STC,COPPER_MINUTE_15,COPPER,"cmo_period=14, cmo_threshold=15.0, vhf_period=28, vhf_threshold=0.3, stc_fast=23, stc_slow=50, stc_cycle=10, stc_entry_long=25.0, stc_entry_short=75.0, atr_period=14, sl_atr_mult=2.5, tp_atr_mult=3.0",14.0,15.0,28.0,0.3,23.0,50.0,10.0,25.0,75.0,14,2.5,3.0,1.57,next_open,24192,57194,24513,-2.357,-0.783,0.794,856,-1.945,-0.636,-0.84,-0.1871,-0.2227,-0.1894,0.4622,0.801,357,0.086,-0.2819,2023:-10.6% 2024:-15.6% 2025:-28.2% 2026:-1.6%,,False,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMO_VHF_STC,COPPER_MINUTE_15,COPPER,"cmo_period=14, cmo_threshold=15.0, vhf_period=28, vhf_threshold=0.35, stc_fast=23, stc_slow=50, stc_cycle=10, stc_entry_long=25.0, stc_entry_short=75.0, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2.0",14.0,15.0,28.0,0.35,23.0,50.0,10.0,25.0,75.0,10,1.5,2.0,1.57,next_open,24192,57194,24513,-2.04,-0.631,0.851,856,-2.688,-0.783,-0.828,-0.2217,-0.2676,-0.2242,0.4258,0.728,357,0.063,-0.2918,2023:-7.7% 2024:-15.7% 2025:-29.2% 2026:+1.7%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMO_VHF_STC,COPPER_MINUTE_15,COPPER,"cmo_period=14, cmo_threshold=15.0, vhf_period=28, vhf_threshold=0.35, stc_fast=23, stc_slow=50, stc_cycle=10, stc_entry_long=25.0, stc_entry_short=75.0, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=3.0",14.0,15.0,28.0,0.35,23.0,50.0,10.0,25.0,75.0,10,1.5,3.0,1.57,next_open,24192,57194,24513,-2.127,-0.666,0.831,856,-2.341,-0.701,-0.836,-0.2039,-0.2439,-0.2063,0.409,0.764,357,0.067,-0.2812,2023:-7.2% 2024:-16.2% 2025:-28.1% 2026:-0.1%,,False,False,False,False,False,False,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMO_VHF_STC,COPPER_MINUTE_15,COPPER,"cmo_period=14, cmo_threshold=15.0, vhf_period=28, vhf_threshold=0.35, stc_fast=23, stc_slow=50, stc_cycle=10, stc_entry_long=25.0, stc_entry_short=75.0, atr_period=10, sl_atr_mult=2.5, tp_atr_mult=2.0",14.0,15.0,28.0,0.35,23.0,50.0,10.0,25.0,75.0,10,2.5,2.0,1.57,next_open,24192,57194,24513,-2.152,-0.711,0.826,856,-2.154,-0.687,-0.904,-0.1957,-0.2165,-0.198,0.4818,0.779,357,0.08,-0.2781,2023:-10.3% 2024:-14.6% 2025:-27.8% 2026:-0.0%,,False,False,False,False,False,True,False,"F1,F2,F4,F5,F6",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
