Symbol,Description,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Performance % 1 year,Performance % 6 months,Performance % 1 month,"Earnings per share diluted growth %, Annual YoY","Revenue growth %, Annual YoY","Debt to equity ratio, Quarterly","Current ratio, Quarterly","Net margin %, Trailing 12 months","Free cash flow, Trailing 12 months","Free cash flow, Trailing 12 months - Currency",Industry,Country or region of registration
MRK1T,Merko Ehitus AS,664696134.58964,USD,10.121710835080254,46.71201814058957,4.692556634304217,7.119205298013252,40.436654366543664,15.60033797694208,0.102055569158301,2.85143800221855,14.0663696130014,49283306.56,USD,Engineering & construction,Estonia
PPA,Piraeus Port Authority S.A.,1137408184.69333,USD,10.333333333333334,29.166666666666668,-18.076109936575047,-4.674046740467402,30.836262996484404,5.0294943947963775,0.130787172331068,2.78107065667009,38.0185974483948,30805545.8106,USD,Marine shipping,Greece
GEA,GRENEVIA Spolka Akcyjna,526866024.49776,USD,5.254802349579299,47.111111111111114,22.365988909426985,9.602649006622517,46.70642450528599,15.512978986402967,0.496737712048717,2.72895277207392,17.0835299669655,98092890,USD,Trucks/Construction/Farm machinery,Poland
FTC,Filtronic plc,513736925.6768,USD,31.40495867768595,98.01980198019801,22.580645161290324,21.794871794871796,329.07801418439715,121.44542308902172,0.104166666666667,2.6446801172616,24.9458432472744,13082442.6,USD,Telecommunications equipment,United Kingdom
ARN,Alerion Clean Power S.p.A.,1114229975.4475698,USD,11.479935794542534,11.749999999999993,-16.44859813084112,-0.8869179600886926,44.10603496897912,36.33030545201652,2.7491555384426904,2.58373154040101,40.0456226288239,-50897413.93000001,USD,Alternative power generation,Italy
NXT,Next Geosolutions Europe SpA,728875680,USD,13.05403764420158,53.9379474940334,44.6188340807175,5.306122448979594,47.76315789473684,38.493172142712304,0.133060303661681,2.52585181961011,22.3904084601786,23753178.838400003,USD,Engineering & construction,Italy
GRF,"Grifols, S.A. Class A",7354752290.10814,USD,19.865012769062385,22.884224779959382,-10.03717472118959,-1.1348161597821151,270.14446227929375,9.411516454016754,1.87063603289163,2.48220247349003,4.95761392459026,998814526.4,USD,Pharmaceuticals: major,Spain
MOVE,Medacta Group SA,4262165548.6137,USD,39.183345963535864,60.694698354661796,25.213675213675216,14.751958224543097,51.466307511839084,13.369991317459007,0.60014695803924,2.39367659072588,14.6905398529195,50658879.08,USD,Medical specialties,Switzerland
PRV,Porvair plc,547486817.5536001,USD,23.69926450558431,26.08695652173913,18.852459016393443,3.2628692834506428,2.934407364787108,9.445893201070374,0.102210103880643,2.34038273662433,8.65466177477542,26713686,USD,Industrial machinery,United Kingdom
FAE,"Faes Farma, S.A.",1810626344.2461598,USD,15.031129558256746,48.68035190615836,9.978308026030367,-0.5882352941176345,20.486815415821496,9.41533974040712,0.138611160236294,2.29404837493013,19.9255473292753,92546428.37,USD,Pharmaceuticals: major,Spain
SOL,SOL S.p.A.,5000554305.19475,USD,28.029247910863507,28.116710875331552,1.4705882352941086,-0.5149330587023687,1.344286781179989,8.29164245906225,0.717079994600763,2.29339364003378,9.16717840797718,-19127023.63,USD,Chemicals: specialty,Italy
ALE,Allegro.eu S.A.,9018954309.85002,USD,28.597509596479732,13.69812023078356,-15.598231555678353,-0.9886547811993507,263.33457665050355,6.243438471281748,0.5920994460818441,2.22303818001147,10.0529814474917,446542535.97,USD,Apparel/Footwear retail,Luxembourg
ACLN,Accelleron Industries AG,8017464558.264899,USD,38.6752611691487,48.78153056861905,-0.8547008547008668,11.449159327461954,64.48250954493861,9.531938241361951,1.7129593258904299,2.19683212416425,17.3385694437161,252357464.456,USD,Trucks/Construction/Farm machinery,Switzerland
PHN,PharmaNutra S.p.A.,722584965.42659,USD,36.25261304874024,24.57466918714557,44.51754385964913,21.586715867158674,30.226776162133657,15.265164367976686,0.31745839636913803,2.18979158626013,13.7785078021353,12231938.56,USD,Pharmaceuticals: other,Italy
MAERSK_A,A.P. Moller - Maersk A/S Class A,34085836494.8346,USD,6.918327305925079,46.017699115044245,10.163204747774481,2.343211578221916,70.8219576394024,8.714437536791957,0.331661586446445,2.15561027084066,8.92936683732763,7755323194.08,USD,Marine shipping,Denmark
EIN,Einhell Germany AG Pref,1079246196.0146,USD,12.841604972123205,36.407766990291265,10.629921259842511,1.0791366906474718,28.87353950348724,14.222382337047426,0.27006748336429304,2.15308311070405,6.36380681190675,6812992.640000001,USD,Tools & hardware,Germany
GTT,Gaztransport & Technigaz SA,7499659666.90514,USD,18.30580359463196,21.280991735537196,11.03404791929382,11.314791403286982,72.50437505756655,49.96048669173073,0.030958106214608,2.11410317098804,48.6168211843073,408989882.07000005,USD,Trucks/Construction/Farm machinery,France
ALTN,AltynGold Plc,616421033.5664,USD,12.417874026773804,609.2674631941647,165.93959731543623,23.828125,126.70062930776145,45.724774833064146,0.448344364798183,2.1105227579991,35.5459789435512,25537786.56,USD,Precious metals,United Kingdom
BASS,Bassac SA,985879189.60455,USD,9.342241051545273,27.72277227722773,-12.244897959183666,10.256410256410266,23.909061253168048,8.230195968062178,0.864091543791125,2.03318604067286,6.04390385495481,152149188.4,USD,Real estate development,France
ORNAV,Orion Oyj Class A,11245768268.792059,USD,30.980603448275865,40.672782874617745,-2.127659574468085,10.04784688995215,51.98109542923736,29.388063460085622,0.305563732705328,1.99309718437784,19.2253391443128,293125312,USD,Pharmaceuticals: major,Finland
JEN,Jensen-Group NV,675009505.86448,USD,11.360946745562131,38.053097345132734,7.586206896551722,10.247349823321551,27.226350554376026,13.25723968499529,0.15227182385371799,1.97859150771873,10.6522694970193,48927814.650000006,USD,Electrical products,Belgium
BAG,A.G. BARR p.l.c.,949796900.9472001,USD,14.79686057248384,9.895837262266681,-9.078014184397164,0.6331568197410565,3.4754672897196324,5.1,0.0152221186703945,1.95757575757576,11.3998127340824,39728990,USD,Beverages: non-alcoholic,United Kingdom
VIRP,Virbac SA,3590577912.28093,USD,23.08065318563395,17.656500802568218,1.3831258644536653,4.119318181818182,20.60640207003046,12.06823957956566,0.305413548376799,1.95611779652947,9.28518632003535,110887732.67,USD,Biotechnology,France
FHZN,Flughafen Zurich AG,9605911049.3265,USD,22.70526988766097,13.515981735159816,7.805724197745013,-0.9561752988047831,7.404154805886996,7.279786459597185,0.562079967415654,1.91077389984826,25.1665543828131,161583279.99999997,USD,Other transportation,Switzerland
NHY,Norsk Hydro ASA,16225529010.08615,USD,15.112517075275,25.30551415797318,33.24881141045958,8.94013993262502,64.12957299807454,5.709332653093098,0.36396812905764303,1.9105771552765,5.08659661202034,1004103640,USD,Aluminum,Norway
ACOMO,Acomo N.V.,865789502.9119799,USD,10.819462227912933,39.746416758544655,10.940919037199125,6.066945606694573,13.8671438157012,7.640974281286677,0.72298417155802,1.8905711919771,4.77645199873922,,,Wholesale distributors,Netherlands
SAR,GR. SARANTIS S.A.,941809244.7766299,USD,17.221873035826523,26.151012891344383,1.33136094674556,2.086438152011918,20.80366225839268,24.44951087000199,0.223049239341585,1.8857842980633,8.45543411620699,29647027.9853,USD,Household/Personal care,Greece
DVL,Develia S.A.,1152613602.50742,USD,8.894511483067342,55.706984667802395,9.069212410501189,8.939213349225268,36.246953696181954,11.252869397124563,0.544216687855289,1.87662864100261,22.6934318034427,98764427.88000001,USD,Real estate development,Poland
SPA,SPADEL S.A.,1328324445.28282,USD,25.3126011076642,41.48936170212766,30.392156862745097,17.699115044247787,45.31410765205633,9.65748296665019,0.08517588793068841,1.87620507555674,10.9039813583222,49833688.96,USD,Beverages: non-alcoholic,Belgium
FRA,Fraport AG,8185697408.72481,USD,15.10609765717441,38.517179023508135,18.759689922480614,11.094996374184177,14.598900324263372,10.66116735408074,2.35383239006554,1.86684263220169,10.7105299254721,264258688,USD,Other transportation,Germany
KRI,Kri-Kri Milk Industry S.A.,765550539.78389,USD,22.39477830294846,24.374999999999993,8.9813800657174,-0.40040040040040964,7.044269502095897,18.52374476834795,0.0587011068564622,1.79637302430013,9.50180256457369,2774469.8016,USD,Food: meat/fish/dairy,Greece
NORBT,Norbit ASA,1158133613.6132698,USD,30.92123010520637,93.05263157894737,-12.666666666666664,0.8800880088008769,26.675685251393062,15.307130159984201,0.48966892700438797,1.78961707280157,16.7048862233198,38169556,USD,Engineering & construction,Norway
FAGR,Fagron SA,1950597291.35722,USD,19.53856632044951,26.515986769570002,2.2271714922048997,7.999999999999997,14.27980132450331,14.28181983797974,0.804989064844673,1.76474746085133,9.32647619047619,77276144,USD,Medical distributors,Belgium
SHF,SNP Schneider-Neureither & Partner SE,660947139.16816,USD,22.128937199410633,24.374999999999993,10.555555555555548,2.051282051282044,243.86992275105905,25.240136462399104,0.6172938951881001,1.7600028189362,9.21565739454895,44692809.28,USD,Information technology services,Germany
NWG,Newag SA,1266535420.8856199,USD,15.725620975160993,148.63636363636365,54.95750708215299,14.675052410901467,28.40866111951587,29.105203818386215,0.166102266827365,1.756562445845,14.0811899206866,76118708.79,USD,Trucks/Construction/Farm machinery,Poland
WWI,Wilh. Wilhelmsen Holding ASA Class A,2660480183.8172197,USD,4.233932259693356,59.45945945945946,35.208333333333336,13.859649122807017,10.866981557830236,12.540322273120177,0.135126681263685,1.71700879765396,50.8749683614977,689429416.6186,USD,Other transportation,Norway
DOM,Dom Development S.A.,1879576530.57198,USD,10.596638555032806,37.966804979253105,11.764705882352942,0.37735849056603776,23.5798763551653,24.226987040414254,0.43730969207350806,1.71125822739274,19.5247313766594,123236817.93,USD,Real estate development,Poland
KRX,Kingspan Group PLC,14586572290.05241,USD,19.609438567941417,5.16363636363636,-3.471295060080118,-2.8225806451613016,3.6382357988673473,6.395075766939411,0.617022242396732,1.67488799593552,7.53472067163846,493342212.00000006,USD,Building products,Ireland
SPG,SP Group A/S,687867163.2881999,USD,18.58578821656051,23.064250411861615,22.058823529411764,19.52,65.36437961130795,12.101574556021857,0.21965787184691202,1.66907190843493,8.46502598631265,40385878.4,USD,Industrial specialties,Denmark
VLX,Volex plc,1007119367.6992,USD,20.163020163020164,63.76306620209059,34.285714285714285,16.049382716049383,17.409144196951935,17.22774927845926,0.513205718439545,1.65567885117493,4.95781319743514,53093009.97,USD,Electrical products,United Kingdom
SNT,Synektik SA,708821796.89016,USD,24.837463173620215,29.110629067245128,39.1955098222638,7.748008689355553,23.753938329631737,9.160911733033553,0.18056223805014,1.64527921913836,18.3697426188293,15757298.3871,USD,Medical specialties,Poland
POLN,Pollen Street Group Limited,729495050.3184,USD,10.394299823278846,14.25,12.839506172839506,-2.1413276231263385,25.15493405371047,72.44919192619824,0.361117437052131,1.58947992191857,50.5457032311252,53451340.800000004,USD,Investment managers,United Kingdom
ITM,Italmobiliare S.p.A.,1407598476.89027,USD,36.952380952380956,11.708253358925147,0.17211703958692154,5.434782608695652,40.603174603174615,19.738796414852754,0.34830617976946104,1.57950216264215,4.57881426903576,-117247700.68,USD,Food: specialty/candy,Italy
PUUILO,Puuilo Oyj,1199197771.2784398,USD,19.987156847005938,23.634558093346563,-8.050221565731166,-0.5591054313099064,23.899782135076244,13.297872340425531,2.12073863636364,1.57247037374658,12.7118644067797,69295727,USD,Electronics/Appliance stores,Finland
CICN,Cicor Technologies,754166350.2551999,USD,22.49954454363272,99.19354838709677,-31.57894736842105,-0.8032128514056225,130.12808331116264,23.326066326399754,0.822707400155567,1.55517718739051,4.49664707967806,63573315.6,USD,Electronic components,Switzerland
