"","Strategy","Instrument","Symbol","Params","Param_period","Param_bb_mult","Param_kc_mult","Param_atr_period","Param_sl_atr_mult","Param_tp_atr_mult","Cost_bps_side","Execution","Bars_per_Year","Bars_IS","Bars_OS","IS_Sharpe","IS_Sortino","IS_ProfitFactor","IS_Trades","OS_Sharpe","OS_Sortino","OS_Calmar","OS_CAGR","OS_MaxDD","OS_TotalReturn","OS_WinRate","OS_ProfitFactor","OS_Trades","OS_Exposure","Worst_Year_Ret","Yearly_Breakdown","F1_OS_MaxDD_above_neg15","F2_OS_PF_gt_1.2","F3_OS_Sortino_gt_1.0","F4_OS_Calmar_gt_0.5","F5_IS_PF_gt_1.0","F6_OS_WinRate_band","F7_AllYearsProfitable","Active_Filters","PASSED_ALL","Error"
"1","Keltner_Squeeze_Breakout","GOLD_MINUTE_5","GOLD","period=20, bb_mult=2, kc_mult=1, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2",20,2,1,10,1.5,2,0.22,"next_open",72576,171799,73629,-1.155,-0.311,0.943,1537,-0.931,-0.251,-0.585,-0.0488,-0.0833,-0.0495,0.3614,0.922,606,0.047,-0.0545,"2023:-5.4% 2024:-3.9% 2025:-0.5% 2026:-2.2%",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"F1,F2,F5,F6,F7",FALSE,NA
"2","Keltner_Squeeze_Breakout","GOLD_MINUTE_5","GOLD","period=30, bb_mult=2, kc_mult=1, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2",30,2,1,10,1.5,2,0.22,"next_open",72576,171799,73629,-1.671,-0.242,0.78,422,-0.116,-0.014,-0.104,-0.0025,-0.024,-0.0025,0.3952,1.005,124,0.011,-0.0337,"2023:-3.4% 2024:+0.5% 2025:-0.3% 2026:-1.5%",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"F1,F2,F5,F6,F7",FALSE,NA
"3","Keltner_Squeeze_Breakout","GOLD_MINUTE_5","GOLD","period=50, bb_mult=2, kc_mult=1, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2",50,2,1,10,1.5,2,0.22,"next_open",72576,171799,73629,-0.807,-0.038,0.732,55,-1.379,-0.029,-0.926,-0.0027,-0.0029,-0.0028,0.25,0.036,4,0.001,-0.0075,"2023:-0.7% 2024:-0.3% 2025:+0.1% 2026:-0.1%",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"F1,F2,F5,F6,F7",FALSE,NA
"4","Keltner_Squeeze_Breakout","GOLD_MINUTE_5","GOLD","period=20, bb_mult=2, kc_mult=1.5, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2",20,2,1.5,10,1.5,2,0.22,"next_open",72576,171799,73629,-2.3,-1.114,0.913,4420,-0.053,-0.027,-0.06,-0.0055,-0.0912,-0.0056,0.3962,1.024,1893,0.176,-0.1486,"2023:-14.9% 2024:-7.0% 2025:-7.7% 2026:+0.9%",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"F1,F2,F5,F6,F7",FALSE,NA
"5","Keltner_Squeeze_Breakout","GOLD_MINUTE_5","GOLD","period=30, bb_mult=2, kc_mult=1.5, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2",30,2,1.5,10,1.5,2,0.22,"next_open",72576,171799,73629,-1.552,-0.537,0.92,2177,0.811,0.291,0.837,0.0582,-0.0696,0.0591,0.4179,1.102,914,0.089,-0.0736,"2023:-7.4% 2024:-0.6% 2025:-1.4% 2026:+1.5%",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"F1,F2,F5,F6,F7",FALSE,NA
"6","Keltner_Squeeze_Breakout","GOLD_MINUTE_5","GOLD","period=50, bb_mult=2, kc_mult=1.5, atr_period=10, sl_atr_mult=1.5, tp_atr_mult=2",50,2,1.5,10,1.5,2,0.22,"next_open",72576,171799,73629,-0.427,-0.077,0.983,617,0.267,0.046,0.263,0.0089,-0.0337,0.009,0.3911,1.079,202,0.02,-0.0398,"2023:-4.0% 2024:+0.7% 2025:-0.8% 2026:+3.2%",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"F1,F2,F5,F6,F7",FALSE,NA
"7","Keltner_Squeeze_Breakout","GOLD_MINUTE_5","GOLD","period=20, bb_mult=2, kc_mult=1, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=2",20,2,1,14,1.5,2,0.22,"next_open",72576,171799,73629,-1.212,-0.326,0.938,1537,-0.825,-0.222,-0.54,-0.043,-0.0798,-0.0437,0.3647,0.934,606,0.047,-0.0524,"2023:-5.2% 2024:-4.0% 2025:-1.1% 2026:-1.4%",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"F1,F2,F5,F6,F7",FALSE,NA
"8","Keltner_Squeeze_Breakout","GOLD_MINUTE_5","GOLD","period=30, bb_mult=2, kc_mult=1, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=2",30,2,1,14,1.5,2,0.22,"next_open",72576,171799,73629,-1.711,-0.247,0.78,422,0.065,0.008,0.057,0.0014,-0.024,0.0014,0.4032,1.052,124,0.01,-0.0314,"2023:-3.1% 2024:+0.2% 2025:-0.3% 2026:-1.0%",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"F1,F2,F5,F6,F7",FALSE,NA
"9","Keltner_Squeeze_Breakout","GOLD_MINUTE_5","GOLD","period=50, bb_mult=2, kc_mult=1, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=2",50,2,1,14,1.5,2,0.22,"next_open",72576,171799,73629,-0.702,-0.033,0.77,55,-1.379,-0.029,-0.926,-0.0027,-0.0029,-0.0028,0.25,0.036,4,0.001,-0.0075,"2023:-0.7% 2024:-0.1% 2025:+0.1% 2026:-0.1%",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"F1,F2,F5,F6,F7",FALSE,NA
"10","Keltner_Squeeze_Breakout","GOLD_MINUTE_5","GOLD","period=20, bb_mult=2, kc_mult=1.5, atr_period=14, sl_atr_mult=1.5, tp_atr_mult=2",20,2,1.5,14,1.5,2,0.22,"next_open",72576,171799,73629,-2.336,-1.127,0.912,4420,-0.178,-0.088,-0.167,-0.018,-0.1079,-0.0182,0.3951,1.016,1893,0.175,-0.1329,"2023:-13.3% 2024:-8.2% 2025:-9.1% 2026:+0.8%",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"F1,F2,F5,F6,F7",FALSE,NA
